id,transaction_no,transaction_date,doc_ref_no,effectivity_date,employee_id,basic_income,housing_allowances,car_allowances,petrol_allowances,food_allowances,others,incentive,mobile_allowances,total_gross_pay,remarks,hr_remarks,mngt_remarks,hr_approved_by,mngt_approved_by,status_id,created_on,created_by,updated_on,updated_by
139,,1997-12-01,,1997-12-01,24,900,300,0,200,0,300,0,0,1700,,,,,,5,,,2020-02-23 19:47:58,17
140,,1998-01-11,,1998-01-11,29,1200,300,0,0,0,0,0,0,1500,,,,,,5,,,2020-02-23 19:47:58,17
141,,1998-03-18,,1998-03-18,30,1600,0,0,0,0,400,0,0,2000,,,,,,5,,,2020-02-23 19:47:58,17
142,,1998-01-01,,1998-01-01,19,2500,0,0,200,365,135,0,0,3200,,,,,,5,,,2020-02-23 19:47:58,17
143,,1998-07-01,,1998-07-01,31,1200,300,0,0,0,300,0,0,1800,,,,,,5,,,2020-02-23 19:47:58,17
144,,1998-07-01,,1998-07-01,32,900,300,0,0,0,0,0,0,1200,,,,,,5,,,2020-02-23 19:47:58,17
145,,1998-08-06,,1998-08-06,33,0,0,0,0,0,0,0,0,0,,,,,,5,,,2020-02-23 19:47:58,17
146,,1998-08-08,,1998-08-08,33,900,300,0,0,0,0,0,0,1200,,,,,,5,,,2020-02-23 19:47:58,17
147,,1998-01-01,,1998-01-01,15,3500,1300,0,0,0,700,0,0,5500,,,,,,5,,,2020-02-23 19:47:58,17
148,,1998-10-10,,1998-10-10,34,900,300,0,0,0,0,0,0,1200,,,,,,5,,,2020-02-23 19:47:58,17
149,,1998-06-01,,1998-06-01,16,2400,300,0,0,365,535,0,0,3600,,,,,,5,,,2020-02-23 19:47:58,17
150,,1998-09-17,,1998-09-17,24,900,300,0,0,0,300,0,0,1500,,,,,,5,,,2020-02-23 19:47:58,17
151,,1998-01-01,,1998-01-01,22,3500,500,300,0,0,250,0,0,4550,,,,,,5,,,2020-02-23 19:47:58,17
152,,1998-01-01,,1998-01-01,1,5775,1600,900,100,0,0,0,0,8375,,,,,,5,,,2020-02-23 19:47:58,17
153,,1998-10-01,,1998-10-01,17,2600,0,0,0,365,1035,0,0,4000,,,,,,5,,,2020-02-23 19:47:58,17
154,,1998-10-01,,1998-10-01,23,3500,0,300,0,0,1200,0,0,5000,,,,,,5,,,2020-02-23 19:47:58,17
155,,1998-12-01,,1998-12-01,11,2250,500,0,180,0,620,0,0,3550,,,,,,5,,,2020-02-23 19:47:58,17
156,,1999-01-01,,1999-01-01,25,1917,0,0,180,365,0,0,0,2462,,,,,,5,,,2020-02-23 19:47:58,17
157,,1999-01-01,,1999-01-01,21,900,300,0,200,0,0,0,0,1400,,,,,,5,,,2020-02-23 19:47:58,17
158,,1999-01-01,,1999-01-01,7,2300,0,0,150,0,650,0,0,3100,,,,,,5,,,2020-02-23 19:47:58,17
159,,1999-01-01,,1999-01-01,29,1200,300,0,250,0,0,0,0,1750,,,,,,5,,,2020-02-23 19:47:58,17
160,,1999-01-01,,1999-01-01,18,1643,300,0,0,365,192,0,0,2500,,,,,,5,,,2020-02-23 19:47:58,17
161,,1999-01-01,,1999-01-01,25,1643,0,0,0,365,142,0,0,2150,,,,,,5,,,2020-02-23 19:47:58,17
162,,1999-01-01,,1999-01-01,24,900,300,0,200,0,300,0,0,1700,,,,,,5,,,2020-02-23 19:47:58,17
163,,1999-01-01,,1999-01-01,25,2004,0,0,180,365,216,0,0,2765,,,,,,5,,,2020-02-23 19:47:58,17
164,,1999-01-01,,1999-01-01,8,1300,0,0,0,360,400,0,0,2060,,,,,,5,,,2020-02-23 19:47:58,17
